chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,mfcc,rmse,zero_crossing_rate,label
0.45042604,1559.7583118159214,2609.931459588149,3068.376689189189,2.5629792,0.12997963,0.024685916385135134,bati
0.4045878,1607.4223429441824,2592.703108217372,3114.5208075495048,1.7211423,0.1195572,0.027713855369911992,bati
0.39341402,1645.3114270162703,2632.3357700513175,3211.58293115401,1.5705615,0.11649182,0.028594727673492606,bati
0.44824976,1735.8079981761614,2757.840056958311,3583.9159172032473,1.8201948,0.12202117,0.02729016482362822,bati
0.40852487,1591.358089918713,2587.134473433108,3114.5543314508695,2.4409823,0.13792764,0.02514674163593256,bati
0.34616336,1590.0184068042938,2594.321951851782,3091.552734375,1.8209006,0.124557085,0.0287003919431946,bati
0.43152374,1671.6674369625184,2724.438555281363,3411.1778725381832,2.0520532,0.12379758,0.026369280881564844,bati
0.4604181,1545.0535805692737,2589.967096680779,3031.6370640538676,2.4176126,0.13062806,0.023328513466850827,bati
0.4204397,956.3860324507563,1272.0432573864616,1886.567856396321,-6.7050815,0.06510537,0.021437560967112596,ambasel
0.41257906,998.2701987034205,1278.1001555849048,1978.565695834438,-5.6675816,0.07418023,0.024201766304347828,ambasel
0.3715787,1205.8584879969017,1348.2127506579886,2453.655545594262,-3.027797,0.09611677,0.03998676571038251,ambasel
0.41229814,1193.4680393707179,1321.3293415658716,2390.396886927481,-3.3969004,0.091366515,0.03680692816248637,ambasel
0.359044,1249.6864100987766,1342.7294432967694,2503.0128096258363,-2.9412477,0.09548363,0.04121322376672241,ambasel
0.38657144,1228.5666423998528,1313.5437767928247,2427.398266838592,-3.1653407,0.09831325,0.03946597727885653,ambasel
0.46444777,1609.8863008705152,2204.8226127434377,3906.472106465635,-3.6359272,0.04581637,0.02982687140607886,ambasel
0.40737242,1511.0700207060095,2097.41693085557,3422.573630406635,-3.5881674,0.054491643,0.029581751294792832,ambasel
0.43927032,1590.8073407296836,2182.734730199066,3764.0087946048525,-4.4314957,0.0487521,0.029243114181328037,ambasel
0.37388277,1682.2597517958257,2209.881103992057,3958.648266838592,-4.00212,0.05737949,0.03245937837108954,ambasel
0.3878363,1707.447718184169,2238.8775797632616,4017.26200064433,-2.8343036,0.06125485,0.03625306504152348,ambasel
0.3816821,2084.28500411579,2349.9899652730223,4623.669559439433,-3.3727577,0.06873551,0.052857424112256586,ambasel
0.38642403,1928.0862667096835,2331.1395314706774,4452.719174307111,-3.0762846,0.06416247,0.04255537863941769,ambasel
0.39201653,2036.2914636720589,2375.5602178586705,4647.227795701791,-4.033382,0.0617136,0.046561144589021615,ambasel
0.26304656,2154.4722137638955,2030.2659143702665,4164.267876312023,-5.127399,0.099496305,0.06333492366412213,ambasel
0.28944245,2272.8102524324104,2151.0089067076838,4573.296341310275,-5.040122,0.088432774,0.06910553153702641,ambasel
0.29440126,1892.6391338071037,2008.5244813517374,3818.049557498581,-5.484199,0.068597786,0.05060167778093076,ambasel
0.29733595,1945.5208219212923,2033.1808273890056,3919.2984868021845,-5.6191173,0.06431217,0.05543071989617044,ambasel
0.26866233,1599.704387108464,1778.1067322601748,3177.0515267175574,-5.4521766,0.050600916,0.04635423766357688,ambasel
0.28035155,1650.6351704647764,1836.921806687617,3365.5198890744273,-6.0468254,0.048673257,0.046034751567611776,ambasel
0.26999682,2203.308386792608,2024.7341081215186,4264.028027035037,-4.3354964,0.10185458,0.06826161584562697,ambasel
0.27986223,2262.4082827824404,2090.9447002316474,4450.0294902537125,-4.2253966,0.1013894,0.07094581528465346,ambasel
0.26849237,2227.845222151986,2084.924590683156,4463.413147181443,-5.0567455,0.101018265,0.06619523678021665,ambasel
0.26378822,2299.4589087368045,2136.66428790319,4703.319987340455,-3.9034095,0.11469541,0.06924326702968923,ambasel
0.25553352,2252.8901784434743,2109.4059228123356,4476.349032758741,-4.2052917,0.10266099,0.06780172638041065,ambasel
0.29684615,2152.720375614835,2081.5591937249633,4285.293654983108,-5.3876324,0.08411283,0.06335779138513513,ambasel
0.29791418,1983.3170804022743,2066.0254612327735,4058.8506355932204,-4.9248276,0.078713164,0.05278016860875706,ambasel
0.29467264,1824.040100031353,1966.8521760106669,3680.7090230507424,-5.091817,0.06323114,0.051530055349284926,ambasel
0.28460932,1621.6862798927475,1809.6766446525507,3292.521222933071,-6.1273484,0.0471839,0.0453019544431946,ambasel
0.30942202,1620.577002842223,1828.3566653061146,3317.2918374073547,-6.0792484,0.04666636,0.04446477248432155,ambasel
0.36497355,3803.428360908779,3961.1125099697197,8308.700669463424,-3.0722132,0.07149665,0.08400687885182208,ambasel
0.42622417,3759.4784878657892,4136.160275436023,8601.69532506029,-2.9424274,0.06179013,0.07394399366961414,ambasel
0.44876862,3878.646001249276,4055.059909636808,8621.31292704984,-2.7108254,0.062216837,0.08771007084003216,ambasel
0.447191,4167.562156536572,4233.256695454014,9272.346768267078,-3.849839,0.049990244,0.08644437202547592,ambasel
0.32826895,3701.648231364427,3988.561459032062,8274.51240647007,-2.378898,0.0686746,0.08186725521397617,ambasel
0.34424466,3621.666434109148,3889.884552304181,7860.05710407839,-2.7870884,0.07060596,0.08131896627824858,ambasel
0.40531334,3741.2721090155064,4019.20850509304,8330.903179009245,-3.1872773,0.06348897,0.0798949541130761,ambasel
0.39704606,3502.4594851648767,3906.8621928649904,7928.692278743945,-2.595092,0.06404377,0.07470913364504844,ambasel
0.42340168,3683.7333834098245,4045.901588025529,8380.062581641881,-2.354225,0.058891147,0.07763828878617364,ambasel
0.41821066,3813.688911061889,4078.2386835436396,8532.869345513825,-2.9512854,0.061333798,0.08307740788911061,ambasel
0.42743942,3686.8501664508676,4012.3379791286075,8268.157777691831,-2.7636082,0.05954622,0.07858910891089109,ambasel
0.41053182,3742.401370501766,4062.4218344153537,8462.548828125,-3.5160964,0.05941416,0.07818732224611542,ambasel
0.4576131,4067.483734965156,4308.006148095092,9236.940486501784,-3.438114,0.053894732,0.08263047989846323,ambasel
0.4259161,3835.5048106062845,4167.074899843915,8764.895984738372,-3.2953756,0.05772415,0.07991536458333333,ambasel
0.4429136,3708.754454794773,4207.771516449975,8672.552304025423,-3.5482314,0.057111003,0.07110864671610169,ambasel
0.39965332,4063.5683758696373,4102.084392334177,8827.883342161016,-3.2867458,0.06936461,0.08874580685028248,ambasel
0.46854082,4239.022126412365,4233.267609069315,9203.520448199917,-3.6220138,0.060571603,0.09251710339206437,ambasel
0.39385203,4187.034125418736,4154.587342669206,9127.789453125,-4.3521037,0.06591157,0.09045926339285715,ambasel
0.44185266,3801.0576090712652,4107.728719762432,8557.410665855963,-3.3825967,0.06614535,0.07558462520996641,ambasel
0.41398972,3848.155015114333,4205.762810547508,8789.914569417939,-3.1403835,0.060180873,0.07554994206652127,ambasel
